# Offset 	Multiplier
50.02490013	8.9146814
60.50350948	9.687604192
49.64940492	10.41904865
47.18723464	13.04169442
42.80277283	11.53525767
44.98080102	16.40235232
32.44223662	22.1355552
47.83681889	11.10323935
44.07054129	17.32457507
50.53432466	8.788286536
43.88841752	12.67279764
53.31976577	11.1178979
52.68817038	9.879053578
47.81085308	10.95694876
69.16250486	9.891273322
65.93153447	30.66345849
58.34155672	31.21085642
54.65944507	25.68937033
52.58767171	19.78401697
52.29466689	43.18529613
61.26734421	21.81986623
50.75195402	24.12964669
58.73526643	30.84638954
55.01375665	26.38638165
50.95822445	24.78039746
51.93245737	28.70244124
50.03051725	35.70992503
62.54873909	21.72456159
52.25726203	32.7952188
49.67033754	22.55586588
47.67759897	31.19389741
50.20117957	27.94341911
